text,hap_val,ang_val,sad_val,fea_val,dis_val,EMO_lab
"padały takie stwierdzenia że można zmienić organizacyjnie polską ochronę zdrowia i to wystarczy. To jest taka opowieść która krążyła przez paręnaście lat w Polsce, a prawda jest taka że to po prostu nie wystarczy. Byli tacy którzy mówili: Kasy Chorych, inni: Narodowy Fundusz, potem wyście powiedzieli że sieć szpitali wszystko uleczy - oczywiście nie uleczy.",0.99,0.52,0.53,0.62,0.44,HAP
"Wydajemy zdecydowanie za mało na publiczną ochronę zdrowia. Jeżeli chcemy się leczyć jak Europejczycy to musimy wydawać w proporcji do PKB do wielkości gospodarki tyle co inne kraje europejskie i te pieniądze po prostu pozwolą na to żeby skrócić kolejki, żeby zwiększyć dostępność do lekarzy ale też żeby wykształcić nowych lekarzy.",1.28,0.84,0.83,0.96,0.68,HAP
"Ja się cieszę z tego co mówił przed chwilą Władysław Kosiniak-Kamysz, bo w sprawie  większych nakładów na publiczną ochronę zdrowia my powinniśmy podpisać ponadpartyjny pakt,",1.32,0.55,0.54,0.74,0.46,HAP
"bo w sprawie  większych nakładów na publiczną ochronę zdrowia my powinniśmy podpisać ponadpartyjny pakt, bo te zmiany nie są na rok. One dwa są na 10- 15- 20 lat i tylko wtedy mają szansę działać.",1.39,0.61,0.6,0.91,0.52,HAP
"Ja się cieszę z tego co mówił przed chwilą Władysław Kosiniak-Kamysz, padały takie stwierdzenia że można zmienić organizacyjnie polską ochronę zdrowia i to wystarczy. To jest taka opowieść która krążyła przez paręnaście lat w Polsce, a prawda jest taka że to po prostu nie wystarczy.",1.05,0.37,0.37,0.5,0.34,HAP
"Muszę się odnieść do tego co mówili przedstawiciele koalicji PO-PSL. Za ich rządów mieliśmy chociażby półmilionową kolejkę czekających na operację zaćmy. Te kolejki udało się znacząco skrócić, mamy w Polsce ponad 100 placówek służby zdrowia gdzie na operację zaćmy czeka się dwa tygodnie czyli tyle ile byśmy chcieli. Oczywiście to nie jest zadanie skończone,",0.96,0.99,0.82,0.95,0.72,ANG
Muszę się odnieść do tego co mówili przedstawiciele koalicji PO-PSL. nie da się w cztery lata zreformować naprawić służby zdrowia po dwudziestu paru latach albo nawet trzydziestu paru latach zaniedbań.,0.69,0.33,0.31,0.43,0.31,HAP
Muszę się odnieść do tego co mówili przedstawiciele koalicji PO-PSL. to rząd Prawa i Sprawiedliwości jako pierwszy zdobył dodatkowe środki i przyjął ustawę gwarantującą wzrost środków i będzie 6 proc PKB na zdrowie.,1.13,0.79,0.69,0.82,0.72,HAP
"Dwa słowa do tego co powiedział pan poseł Horała. Ja przepraszam panie pośle, ale naprawdę kiedy powtarza pan z dumą o zwiększeniu nakładów na ochronę zdrowia, to mam poczucie że to jest nie na miejscu, oszukaliście lekarzy rezydentów, ",1.42,0.79,0.72,0.94,0.68,HAP
"oszukaliście lekarzy rezydentów,  podpisaliście z nimi porozumienie obiecujące prawdziwe 6 proc. a prawdziwego 6 proc. nie ma i wie pan to równie dobrze jak ja.",1.73,0.86,0.79,0.93,0.7,HAP
"Moja riposta będzie dotyczyła wszystkich przedmówców. Jeszcze raz chciałem to podkreślić że nie wystarczy dodawać do źle działającego systemu więcej pieniędzy Tutaj wszyscy zgadzają się z filozofią pana Zandberga, podpisują ten sam pakt.",0.52,0.31,0.29,0.36,0.25,HAP
Moja riposta będzie dotyczyła wszystkich przedmówców. Jeszcze raz chciałem to podkreślić że nie wystarczy dodawać do źle działającego systemu więcej pieniędzy My jako konfederacja jesteśmy jedyną siłą która uważa że to ludzie najlepiej wiedzą jak wydać pieniądze na ochronę własnego zdrowia.,1.21,0.52,0.48,0.72,0.41,HAP
podpisaliście z nimi porozumienie obiecujące prawdziwe 6 proc. a prawdziwego 6 proc. nie ma i wie pan to równie dobrze jak ja. Triki księgowe sprowadzają się do tego żeby wydać na publiczną ochronę zdrowia możliwie najmniej. I to się kończy tak że zmusza się ludzi żeby płacili za ochronę zdrowia z własnych portfeli.,1.94,1.1,1.07,1.26,0.91,HAP
"padały takie stwierdzenia że można zmienić organizacyjnie polską ochronę zdrowia i to wystarczy. To jest taka opowieść która krążyła przez paręnaście lat w Polsce, a prawda jest taka że to po prostu nie wystarczy. Wydajemy zdecydowanie za mało na publiczną ochronę zdrowia.",1.27,0.54,0.55,0.74,0.49,HAP
"polska służba zdrowia jest w zapaści są kolejki na sorach, są kolejki do specjalistów.",1.22,1.11,0.93,0.9,0.76,HAP
"I co o zdrowiu. Proponujemy pakt na rzecz zdrowia. Dzisiaj w Gazecie Prawnej ukazał się pakt podpisany przez wszystkie główne komitety. To bardzo dobrze. Jest nadzieja że zwiększymy wspólnie finansowanie do 6,8 proc. PKB, bo bez zwiększonego finansowania nie ma szans na większą dostępność do służby zdrowia,  na przyśpieszenie dostępności do lekarza czy pielęgniarki.",1.47,0.76,0.76,0.97,0.63,HAP
"i dzisiaj oczekuję od wszystkich komitetów deklaracji że niezależnie czy będą rządzić czy w opozycji podpiszą pakt dla zdrowia. Kolejna sprawa to zwiększenie limitów przyjęć na studia medyczne. Otwarcie nowych kierunków, skrócenie specjalizacji,  uproszczenie nostryfikacji dyplomów, podniesienie wynagrodzeń o 30 proc. szczególnie dla fizjoterapeutów ratowników medycznych ale też pielęgniarek, położnych, lekarzy rezydentów. To wszystko można zrobić również przy użyciu środków europejskich. np. europejski program walki z rakiem,  ale tylko wspólnie  -",1.05,0.73,0.66,0.85,0.6,HAP
i dzisiaj oczekuję od wszystkich komitetów deklaracji że niezależnie czy będą rządzić czy w opozycji podpiszą pakt dla zdrowia. I co o zdrowiu. Proponujemy pakt na rzecz zdrowia. Dzisiaj w Gazecie Prawnej ukazał się pakt podpisany przez wszystkie główne komitety. To bardzo dobrze.,1.95,1.22,1.14,1.46,1.04,HAP
"i dzisiaj oczekuję od wszystkich komitetów deklaracji że niezależnie czy będą rządzić czy w opozycji podpiszą pakt dla zdrowia. Druga debata na której nie ma Jarosława Kaczyńskiego, premiera Morawieckiego. Jak nie było tak nie ma nie ma też Grzegorza Schetyny i Małgorzaty Kidawy-Błońskiej a przecież zdrowie jest najważniejsze.",1.08,0.7,0.61,0.81,0.58,HAP
należy coś zrobić żeby zmniejszyły się kolejki i żebyśmy mieli więcej specjalistów żeby lekarze wracali do Polski polska służba zdrowia jest w zapaści,1.03,0.71,0.66,0.78,0.54,HAP
I druga sprawa którą trzeba poruszyć przy tej okazji kiedy mówimy o smogu to są normy. Musimy zacząć traktować się po prostu poważnie i musimy zacząć przestrzegać względem nas samych takich samych norm jak to się stosuje w krajach Europy Zachodniej,0.59,0.38,0.36,0.48,0.31,HAP
Musimy zacząć traktować się po prostu poważnie i musimy zacząć przestrzegać względem nas samych takich samych norm jak to się stosuje w krajach Europy Zachodniej bo nie jest tak że Polacy mają płuca ze stali i mogą oddychać dwa trzy cztery razy gorszym powietrzem bez uszczerbku na zdrowiu.,1.16,0.66,0.63,0.79,0.54,HAP
"Odpowiedź jest prosta i brzmi tak: to co proponuje lewica, to jest wielki program wymiany pieców, dwóch milionów pieców, finansowany z budżetu centralnego, bo nie może być tak że zrzucimy kolejne zadania na samorządy i powiemy im, że mają radzić sobie same.",1.33,0.67,0.66,0.83,0.56,HAP
Tutaj muszą pójść poważne pieniądze Zagrożenie jest poważne.,0.03,0.28,0.29,0.43,0.14,FEA
"Smog jest produkowany między innymi przez przez stare kopciuchy. Niestety ludzie palą nie tylko węglem, szkodliwym drewnem, ale również plastikiem i wszystkim co popadnie",0.86,0.94,0.91,0.92,1.0,DIS
"Coraz więcej dzieciaków choruje na astmę, coraz więcej z nas choruje na choroby układu oddechowego. I w tej sprawie po prostu nie ma co czekać.",0.46,0.49,0.41,0.43,0.32,ANG
"I w tej sprawie po prostu nie ma co czekać. To co my proponujemy, to jest centralne finansowe wsparcie dla samorządów na dużą skalę, na skalę na którą niestety przez długie lata żaden rząd się nie zdobył.",1.18,0.92,0.8,0.87,0.77,HAP
"To co my proponujemy, to jest centralne finansowe wsparcie dla samorządów na dużą skalę, na skalę na którą niestety przez długie lata żaden rząd się nie zdobył. Już najwyższy czas żebyśmy się wzięli.",1.09,0.67,0.62,0.68,0.61,HAP
"Odpowiedź jest prosta i brzmi tak: to co proponuje lewica, to jest wielki program wymiany pieców, dwóch milionów pieców, finansowany z budżetu centralnego, Tutaj muszą pójść poważne pieniądze",1.07,0.52,0.53,0.63,0.48,HAP
"Odpowiedź jest prosta i brzmi tak: to co proponuje lewica, to jest wielki program wymiany pieców, dwóch milionów pieców, finansowany z budżetu centralnego, Coraz więcej dzieciaków choruje na astmę, coraz więcej z nas choruje na choroby układu oddechowego.",0.86,0.43,0.43,0.51,0.39,HAP
"Odpowiedź jest prosta i brzmi tak: to co proponuje lewica, to jest wielki program wymiany pieców, dwóch milionów pieców, finansowany z budżetu centralnego, I druga sprawa którą trzeba poruszyć przy tej okazji kiedy mówimy o smogu to są normy.",1.12,0.55,0.56,0.68,0.5,HAP
Oczywiście że jesteśmy za finansowaniem metody in vitro. Robiliśmy to kiedy rządziliśmy wspólnie z PSL em.,1.11,0.63,0.55,0.72,0.53,HAP
Oczywiście że jesteśmy za finansowaniem metody in vitro. Mamy to w naszym programie.,0.4,0.25,0.22,0.27,0.21,HAP
to wszystko jest nasza spuścizna i się tego nie wstydzimy Ma pan rację że to jest nasza spuścizna,0.0,0.0,0.0,0.0,0.0,None
to wszystko jest nasza spuścizna i się tego nie wstydzimy tak jak płatne roczne urlopy rodzicielskie,0.87,0.23,0.27,0.3,0.22,HAP
to wszystko jest nasza spuścizna i się tego nie wstydzimy bezpłatne podręczniki,0.0,0.0,0.0,0.0,0.0,None
to wszystko jest nasza spuścizna i się tego nie wstydzimy zusy dla niani,0.0,0.0,0.0,0.0,0.0,None
to wszystko jest nasza spuścizna i się tego nie wstydzimy kobiety w Polsce potrzebują żłobków i przedszkoli,1.21,0.63,0.74,0.73,0.49,HAP
kobiety w Polsce potrzebują żłobków i przedszkoli chcą wychowywać dzieci i chcą pracować,2.54,1.22,1.33,1.4,1.0,HAP
kobiety w Polsce potrzebują żłobków i przedszkoli rozwijać się zawodowo,1.21,0.63,0.74,0.73,0.49,HAP
kobiety w Polsce potrzebują żłobków i przedszkoli chcą uczestniczyć w życiu politycznym,2.35,1.12,1.31,1.41,0.93,HAP
Popatrzcie zresztą państwo jak wygląda ta debata. Nie powinnam tu być jedyną kobietą.,1.29,0.9,0.79,0.82,0.69,HAP
Popatrzcie zresztą państwo jak wygląda ta debata. Powinny tu być inne reprezentantki ugrupowań oprócz mnie.,0.58,0.59,0.45,0.49,0.45,ANG
"Zobaczcie państwo jaka piękna koalicja Konfederacji z Platformą Obywatelską w atakowaniu Prawa i Sprawiedliwości. Rozumiem że apel Grzegorza Schetyny z ostatniej konwencji, żeby Konfederacja przyłączyła się do tej koalicji anty-PiS został wysłuchany i jest realizowany.",0.42,0.37,0.4,0.37,0.26,HAP
"I takie są fakty, a nie wasza propaganda liczba placówek tego rodzaju wzrosła z 3 tysięcy do pięciu tysięcy.",0.94,0.68,0.65,0.68,0.59,HAP
"I takie są fakty, a nie wasza propaganda Liczba miejsc w tych formach opieki żłobkach oraz innych formach opieki do trzech lat wzrosła ponad dwukrotnie w Polsce",1.89,0.95,0.93,1.06,0.76,HAP
"I takie są fakty, a nie wasza propaganda A propos żłobków i przedszkoli, to w ramach programu Maluch plus przeznaczyliśmy 1 600 milionów złotych.",0.72,0.38,0.44,0.41,0.27,HAP
Dla mnie ten rok jest szczególny. Moja małżonka i ja mamy dziecko,2.34,0.93,0.94,1.07,0.8,HAP
"Dla mnie ten rok jest szczególny. urodziła się w tym roku Zosia i to jest największa radość jaka może spotkać rodziców, dzisiaj ja o tym wiem dobrze sam.",1.7,0.47,0.49,0.6,0.4,HAP
"dla wszystkich par które nie mogą mieć dzieci in vitro powinno być finansowane urodziła się w tym roku Zosia i to jest największa radość jaka może spotkać rodziców, dzisiaj ja o tym wiem dobrze sam.",1.87,0.57,0.59,0.7,0.47,HAP
Rząd PiSu jest w tym obłudny nie zmienił żadnego przepisu w ustawie o in vitro,0.45,0.77,0.53,0.62,0.67,ANG
"Rząd PiSu jest w tym obłudny Rząd PiS pozbawił finansowania in vitro osoby, których na to nie stać.",0.85,1.03,0.66,0.75,0.82,ANG
Oszukaliście prawicowych wyborców mówiliście że zmienicie ustawy o in vitro,0.7,0.56,0.49,0.63,0.47,HAP
Rząd PiSu jest w tym obłudny Oszukaliście prawicowych wyborców,0.3,0.59,0.34,0.36,0.5,ANG
Oszukaliście prawicowych wyborców wykorzystaliście tylko jeden zapis dotyczący finansowania.,0.32,0.22,0.2,0.23,0.17,HAP
"ale to również program Twoja energia czyli upowszechnianie paneli fotowoltaicznych, żeby każdy mógł sobie zamontować w swoim domu też otrzyma do tego dofinansowanie żeby te zero emisyjne źródła energii się upowszechniać. I jeżeli mówimy o tym, to znów powtarzam Prawo i Sprawiedliwość jest pierwszą partią która coś naprawdę w tej sprawie robi.",1.0,0.5,0.45,0.52,0.41,HAP
"Dzięki temu programowi Polacy w swoich domach będą mieli wsparcie, żeby mogli właśnie wymieniać te piece, żeby mogli ogrzewać, ocieplić swój dom w sposób bardziej ekologiczny i mniej niszczący powietrze. Nie zostawimy Polaków samych z tym problemem,",1.68,0.81,0.81,0.85,0.59,HAP
"Po drugie uruchomiliśmy wielki program czyste powietrze, on jest w początkowej fazie realizacji, ale mamy już podpisane 27 tysięcy umów na 500 milionów dofinansowania. Do końca roku w procedowaniu będzie ponad 100 tysięcy wniosków na ponad dwa miliardy złotych.",1.3,0.52,0.57,0.65,0.46,HAP
"nie będziemy udawać że nie ma problemu. Po drugie uruchomiliśmy wielki program czyste powietrze, on jest w początkowej fazie realizacji, ale mamy już podpisane 27 tysięcy umów na 500 milionów dofinansowania.",1.34,0.71,0.75,0.78,0.65,HAP
"nie będziemy udawać że nie ma problemu. Dzięki temu programowi Polacy w swoich domach będą mieli wsparcie, żeby mogli właśnie wymieniać te piece, żeby mogli ogrzewać, ocieplić swój dom w sposób bardziej ekologiczny i mniej niszczący powietrze.",1.67,0.92,0.92,0.92,0.73,HAP
"nie będziemy udawać że nie ma problemu. ale to również program Twoja energia czyli upowszechnianie paneli fotowoltaicznych, żeby każdy mógł sobie zamontować w swoim domu też otrzyma do tego dofinansowanie żeby te zero emisyjne źródła energii się upowszechniać.",0.9,0.56,0.59,0.57,0.47,HAP
"Proszę państwa jak państwo wiedzą smog powoduje to,  że jesteśmy na czarnej mapie w Europie. Smog jest produkowany między innymi przez przez stare kopciuchy.",1.76,1.3,1.39,1.38,1.13,HAP
"My zwracamy te zaostrzone normy smogowe, nie będziemy udawać że nie ma problemu.",0.34,0.8,0.84,0.74,0.71,SAD
"To bardzo ważne że wspomnieliśmy o normach, bo to nasi poprzednicy mieli taką metodę walki ze smogiem. Nie chcesz mieć temperatury to zbij termometr -  rozluźnić normy antysmogowe, żeby powietrze było takie brudne, zanieczyszczone jak było, ale żeby rzadziej był alarm.",0.91,0.71,0.65,0.82,0.64,HAP
"To bardzo ważne że wspomnieliśmy o normach, bo to nasi poprzednicy mieli taką metodę walki ze smogiem. My zwracamy te zaostrzone normy smogowe,",0.48,0.5,0.43,0.52,0.36,FEA
"Prawo i Sprawiedliwość jest partią która akurat ma niezbyt chwalebne dokonania, jeżeli mówimy o odnawialnych źródłach energii dość wspomnieć o wiatrakach.",0.84,0.59,0.55,0.55,0.5,HAP
Natomiast panie pośle problem polega na tym że skala tych programów które realizuje się jest po prostu zbyt mała wobec potrzeb. Polskie miasta są w tym momencie na niechlubnym rankingu w których jest najgorsze powietrze i tak skromnej skali programami tego problemu po prostu się nie da rozwiązać.,0.95,0.85,0.84,0.82,0.65,HAP
"No tak to dość osobliwe rzeczywiście gdy pan poseł reprezentujący PiS mówi o odnawialnych źródeł energii. Panie pośle zniszczyliście farmy wiatrowe zniszczyliście ustawę prosumencką,  zniszczyliście podstawy do rozproszonej energetyki nie potraficie nawet zrealizować programu Czyste powietrze",1.29,0.63,0.57,0.76,0.54,HAP
"No tak to dość osobliwe rzeczywiście gdy pan poseł reprezentujący PiS mówi o odnawialnych źródeł energii. a wcześniej zamknęliście program Kawka wprowadzony przez rząd PO-PSL,  który właśnie wymieniał piece, a pieniądze z tego programu prezes klubu przekazał do Torunia.",0.87,0.46,0.37,0.52,0.39,HAP
"Prawo i Sprawiedliwość to nie tylko program czysta energia na 103 miliardy złotych, panie przewodniczący więc nie taki mały, będzie adresowany do trzech czterech milionów polskich domów. Ale to również zaostrzenie norm na paliwa stałe i na kotły na paliwa stałe już wprowadziliśmy w życie.",0.9,0.27,0.3,0.28,0.23,HAP
" Przez lata straszono nas ostatnio wyrokami trybunału europejskiego, wiecie państwo za co faktycznie dostaliśmy jedyny wyrok jaki dostaliśmy w tych latach?  Za brak polityki antysmogowej za rządów PO-PSL.",0.92,1.29,1.23,1.44,1.09,FEA
"Platforma Obywatelska nie tylko rozbiła termometr i rozbudziła normę anty smogu ale też w ogóle nie prowadziła polityki antysmogowej.  Przez lata straszono nas ostatnio wyrokami trybunału europejskiego, wiecie państwo za co faktycznie dostaliśmy jedyny wyrok jaki dostaliśmy w tych latach? ",0.7,0.76,0.75,0.94,0.69,FEA
"Smog jest produkowany między innymi przez przez stare kopciuchy. Niestety ludzie palą nie tylko węglem, szkodliwym drewnem, ale również plastikiem i wszystkim co popadnie",0.86,0.94,0.91,0.92,1.0,DIS
"Przez te cztery lata nie PIS nie zrobił nic dla czystej energii W ogóle mieliśmy dawniej ministrów ochrony środowiska, dzisiaj mamy ministrów niszczenia środowiska, mamy premiera który zablokował cele klimatyczne na szczycie Unii Europejskiej i prezydenta który za sto lat chce jeszcze wydobywać węgiel i w ogóle nie wierzy w zmiany klimatyczne. ",1.58,0.87,0.84,0.98,0.78,HAP
"Przez te cztery lata nie PIS nie zrobił nic dla czystej energii No i jak powiedziałam mieliśmy prezesa Kujdę, który przekazał środki z programu na wymianę pieców, do Torunia, a tam nie było wystarczającej ciepłej wody na geotermię.",1.13,0.38,0.41,0.49,0.33,HAP
"Przez te cztery lata nie PIS nie zrobił nic dla czystej energii Kiedy oddaliśmy rządy w Polsce to miks energetyczny wyglądał w taki sposób, że odnawialne źródła energii stanowiły w nim prawie 14 procent.Dzisiaj to jest 11 procent.",0.87,0.45,0.36,0.39,0.4,HAP
"Trzeba w pierwszej kolejności za walkę ze smogiem podziękować aktywistom: Krakowski Alarm,  Polski Alarm Smogowy, ale też wszystkie organizacje pozarządowe. To dzięki wam jest walka ze smogiem którą rozpoczęliśmy od Krakowa, Małopolski przez zmiany ustaw uchwał przez przejście na zieloną stronę mocy.",0.62,0.75,0.62,0.9,0.52,FEA
"Przejść musimy naprawdę na zieloną stronę mocy. To jakie środowisko zostawimy naszym dzieciom, to jest nasza odpowiedzialność.",1.16,0.59,0.54,0.59,0.49,HAP
Pomoc małym gminom mała gmina nie jest w stanie zgazyfikować się w całości. Nasi rodacy nie są w stanie zapłacić wielu tysięcy złotych za to żeby podłączyć się do gazu.,0.68,0.46,0.47,0.53,0.43,HAP
Nasi rodacy nie są w stanie zapłacić wielu tysięcy złotych za to żeby podłączyć się do gazu. Ale jak wymienimy piec to też nie wolno Polaków zostawić samym sobie bo paliwo jest droższe bo trzeba im dofinansować szczególnie tym którzy są w trudnej sytuacji. ,0.39,0.38,0.39,0.45,0.34,FEA
"Trzeba przejść na zieloną stronę mocy i postawić w 50 procentach na odnawialne źródła energii to powinien być taki miks energetyczny 50 źródła konwencjonalne 50 odnawialne źródła energii przede wszystkim energia wiatrowa słoneczna farmy wiatrowe na Bałtyku które mogą być niezwykłym źródłem energii dla Polski. Wymiana pieców, tak jest, przejście na elektrociepłownie.",1.17,0.39,0.38,0.42,0.35,HAP
"Ja nie chcę żeby moja córka, ale też dzieci nas wszystkich chodziły w takich maseczkach antysmogowych. Bo inaczej nie będzie można w Polsce oddychać.",1.79,0.72,0.77,0.87,0.6,HAP
"To jakie środowisko zostawimy naszym dzieciom, to jest nasza odpowiedzialność. Ja nie chcę żeby moja córka, ale też dzieci nas wszystkich chodziły w takich maseczkach antysmogowych.",1.93,0.84,0.83,0.97,0.72,HAP
"To jakie środowisko zostawimy naszym dzieciom, to jest nasza odpowiedzialność. Trzeba przejść na zieloną stronę mocy i postawić w 50 procentach na odnawialne źródła energii to powinien być taki miks energetyczny 50 źródła konwencjonalne 50 odnawialne źródła energii przede wszystkim energia wiatrowa słoneczna farmy wiatrowe na Bałtyku które mogą być niezwykłym źródłem energii dla Polski.",1.39,0.5,0.49,0.54,0.45,HAP
"To jakie środowisko zostawimy naszym dzieciom, to jest nasza odpowiedzialność. Pomoc małym gminom mała gmina nie jest w stanie zgazyfikować się w całości.",1.28,0.67,0.67,0.65,0.57,HAP
"Ale tak właśnie manipuluje się debatą, bo nie mówimy o panu Sławomirze Neumanie, który ma postawione zarzuty za to że nielegalnie naciskał na NFZ i przysporzył prywatnej klinice kilka milionów złotych nienależnych pieniędzy.",0.91,0.68,0.62,0.76,0.56,HAP
"Ale tak właśnie manipuluje się debatą, Nie mówimy o Panie Stanisławie Gawłowskim sekretarzu generalnym Platformy Obywatelskiej z zarzutami prokuratorskim.",0.67,0.46,0.31,0.42,0.33,HAP
"Ale tak właśnie manipuluje się debatą, Nie mówimy o wszystkich aferach Platformy Obywatelskiej.",0.95,0.96,0.66,0.76,0.7,ANG
"przeprowadzimy takie zmiany prawne, bo u nas są najwyższe standardy. Prawo i Sprawiedliwość narzuca znacznie wyższy standard jeżeli tylko ktoś jest o coś realnie podejrzany jest eliminowany.",0.99,0.54,0.52,0.74,0.4,HAP
"przeprowadzimy takie zmiany prawne, bo u nas są najwyższe standardy. Pan Banaś akurat się odsunął od sprawy - poszedł na urlop - która będzie wyjaśniona. Gdyby jakikolwiek zarzut się potwierdził, tu będą potrzebne zmiany prawne bo szef NIK-u jest nieodwoływalny,",1.21,0.65,0.63,0.88,0.5,HAP
"wyższe dochody z VAT byłyby z PiSem czy bez PiSu, bo to kwestia koniunktury gospodarczej, kwestia wysokiej konsumpcji, bardzo niskich inwestycji i procesu uszczelnienia, który rozpoczęła Platforma Obywatelska.",0.82,0.38,0.39,0.43,0.29,HAP
"Ta bajka już dawno legła w gruzach, panie pośle. wyższe dochody z VAT byłyby z PiSem czy bez PiSu,",1.27,0.57,0.56,0.58,0.46,HAP
"Natomiast mówiliście pani poseł pani poseł proszę nie mówić kłamstw. Rok 2017 wzrost konsumpcji o 6, wzrost wpływów z VATu o 23 proc. To pokazuje jaka była skala oszustw.",1.41,1.38,1.27,1.37,1.26,HAP
"Szanowni Państwo, pan poseł Horała potrzebuje naszego teraz życzliwości wsparcia bo nie łatwo jest bronić trzech muszkieterów praworządności, przyzwoitości: Kuchcińskiego, Misiewicza, Banasia, a nie to trzech tylko trzystu albo trzy tysiące albo jeszcze więcej.",0.77,0.51,0.51,0.53,0.39,HAP
"Muszę się zgodzić ze wszystkimi. Wzajemnie wyciągają państwo sobie afery i rzeczywiście i PiS i SLD i Platforma i PSL mają na koncie wiele afer, czytaliśmy o tym w mediach przez wiele lat.",0.69,0.56,0.49,0.5,0.45,HAP
w tym zakresie proponujemy pakiet polskiego przedsiębiorcy: szereg ułatwień podatkowych dla polskich przedsiębiorców. Natomiast my jako Konfederacja chcielibyśmy zwrócić uwagę że pan Banaś stał na czele Krajowej Administracji Skarbowej,0.63,0.56,0.47,0.53,0.46,HAP
"Wzajemnie wyciągają państwo sobie afery i rzeczywiście i PiS i SLD i Platforma i PSL mają na koncie wiele afer, czytaliśmy o tym w mediach przez wiele lat. Platforma Obywatelska, partia afer, partia odpowiedzialna za to, że mafia ukradła Polakom 260 miliardów złotych śmie stroić się w pióra obrońców moralności.",0.81,0.94,0.8,0.87,0.81,ANG
"Wzajemnie wyciągają państwo sobie afery i rzeczywiście i PiS i SLD i Platforma i PSL mają na koncie wiele afer, czytaliśmy o tym w mediach przez wiele lat. O luce w VATcie: 25 miliardów wynosi luka w VAT, rocznie około 25 miliardów, za rządów PISu, więc jakbym używał waszego języka to w 3 lata luka w VAT wyniosła 87 mld  - zagrabiliście 87 mld!",0.57,0.47,0.4,0.43,0.4,HAP
"Po raz pierwszy chyba muszę się zgodzić z krytyką wygłaszaną przez wszystkich tu stojących polityków bo rzeczywiście jest sytuacja w której jesteśmy jest wspólnym efektem zaniedbań PSL-u, SLD, PiS-u i Platformy.",0.44,0.27,0.22,0.28,0.2,HAP
"Po raz pierwszy chyba muszę się zgodzić z krytyką wygłaszaną przez wszystkich tu stojących polityków Faktycznie tak jest, że żaden rząd poprzedni nie zrobił dla tych kwestii ochrony środowiska i czystego powietrza zbyt wiele.",1.07,0.6,0.48,0.53,0.5,HAP
"Czy należy budować sieci ciepłownicze, czy należy zmieniać sposób ogrzewania polskich miast? Tak, oczywiście należy. Trzeba inwestować.",1.93,0.94,0.96,1.26,0.81,HAP
"Natomiast to czego tutaj nie powiedzą państwo, to jak gigantycznych nakładów inwestycyjnych to wymaga, to o czym to mówił pan poseł czy pani Leszczyna, czyli program czyste powietrze to jest kropla w morzu potrzeb i przede wszystkim znów stoi za tym centralistyczne myślenie państwa.  Uważają, że milionom ludzi wymienią piece nakazem administracyjnym.",1.87,1.05,1.01,1.16,0.83,HAP
"Tak naprawdę trzeba będzie odbudować zaufanie do bardzo wielu instytucji państwa, nie tylko do Najwyższej Izby Kontroli, także do KNF-u, do Trybunału Konstytucyjnego do Krajowej Rady Sądownictwa, a nawet do Narodowego Banku Polskiego, bo tam też mieliśmy historie, które wcześniej nie mieściły się nam po prostu w głowie.",1.12,0.89,0.91,1.02,0.82,HAP
"Bardzo trudno będzie odbudować zaufanie do państwa. Tak naprawdę trzeba będzie odbudować zaufanie do bardzo wielu instytucji państwa, nie tylko do Najwyższej Izby Kontroli, także do KNF-u, do Trybunału Konstytucyjnego do Krajowej Rady Sądownictwa, a nawet do Narodowego Banku Polskiego,",1.05,0.92,0.91,1.04,0.82,HAP
"Różnica między tymi dwiema sprawami, o które pani redaktor pytała jest fundamentalna. Krzysztof Kwiatkowski został podsłuchany gdy mówił, że rzekomo chce wpływać na wynik konkursu. Przypomnę, że PiS te konkursy wszystkie zlikwidował.",0.83,0.47,0.46,0.63,0.37,HAP
"Różnica między tymi dwiema sprawami, o które pani redaktor pytała jest fundamentalna. Natomiast minister Banaś jest człowiekiem, który przyznał w publicznej telewizji, że popełnia oszustwo podatkowe. Wszyscy widzieliśmy komu wynajął swoją kamienicę i że jest w niej hotel na godziny.",1.17,1.04,0.97,1.05,0.93,HAP
"Tak naprawdę ludzie nie decydują się na dzieci z trzech powodów. Po pierwsze dlatego, że mają poczucie niestabilności jeżeli chodzi o pracę.",0.85,0.47,0.43,0.55,0.33,HAP
Tak naprawdę ludzie nie decydują się na dzieci z trzech powodów. Po drugie są strasznie wysokie koszty mieszkań,1.26,0.68,0.67,0.85,0.51,HAP
"Tak naprawdę ludzie nie decydują się na dzieci z trzech powodów. Wreszcie trzecia sprawa, to już tutaj padło, brak wsparcia państwa w opiece.",1.44,0.93,1.02,1.07,0.67,HAP
Ale problemów demograficznych nie rozwiąże samo finansowanie in vitro. Tak naprawdę ludzie nie decydują się na dzieci z trzech powodów.,0.56,0.5,0.55,0.58,0.39,FEA
"Po pierwsze dlatego, że mają poczucie niestabilności jeżeli chodzi o pracę. I tutaj przez cztery lata nie spełniliście obietnicy i nie zlikwidowaliście umów śmieciowych.",0.68,0.4,0.33,0.49,0.28,HAP
Po drugie są strasznie wysokie koszty mieszkań wynajem mieszkania w wielu miastach to jest 70- 80 proc. pensji.,1.71,0.94,0.9,1.12,0.71,HAP
